,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp
17051,14506,FC,20200924,89.9,-1.99,5.93,155.0,598265,664042,strikeout,swinging_strike,1.0,L,R,BOS,BAL,S,2.0,,-0.45,3.42,Ryan Wills,-0.278
17052,14507,FF,20200924,92.5,-1.85,5.95,262.0,598265,664042,,foul,5.0,L,R,BOS,BAL,S,,,-0.17,2.15,Ryan Wills,-0.084
17053,14508,FF,20200924,92.5,-1.9,5.94,206.0,598265,664042,,called_strike,8.0,L,R,BOS,BAL,S,,,0.2,1.94,Ryan Wills,-0.033
17054,14509,FF,20200924,92.8,-1.92,5.95,214.0,598265,664042,,ball,13.0,L,R,BOS,BAL,B,,,-0.96,2.26,Ryan Wills,0.064
17055,14510,FF,20200924,93.4,-1.95,5.93,135.0,598265,664042,,ball,13.0,L,R,BOS,BAL,B,,,-0.56,1.27,Ryan Wills,0.044
17056,14511,CU,20200924,79.5,-2.04,5.96,50.0,598265,664042,,ball,14.0,L,R,BOS,BAL,B,,,1.31,1.37,Ryan Wills,0.033
17057,14512,FF,20200924,93.8,-1.33,6.13,204.0,608700,664042,single,hit_into_play,6.0,R,R,BOS,BAL,X,9.0,line_drive,0.5,2.58,Ryan Wills,0.122
17058,14513,CU,20200924,78.4,-1.8,6.01,42.0,608700,664042,,ball,11.0,R,R,BOS,BAL,B,,,-1.26,3.06,Ryan Wills,0.021
17059,14514,FF,20200924,92.4,-1.34,6.15,207.0,608700,664042,,foul,11.0,R,R,BOS,BAL,S,,,-0.84,3.37,Ryan Wills,-0.022
17060,14515,FF,20200924,93.5,-1.4,6.09,216.0,608700,664042,,ball,14.0,R,R,BOS,BAL,B,,,1.42,2.14,Ryan Wills,0.018
17061,14516,FC,20200924,90.3,-1.61,6.15,174.0,527049,664042,field_out,hit_into_play,14.0,R,R,BOS,BAL,X,4.0,ground_ball,0.98,1.9,Ryan Wills,-0.142
17062,14517,FF,20200924,91.9,-1.17,6.19,212.0,527049,664042,,foul,9.0,R,R,BOS,BAL,S,,,0.54,2.0,Ryan Wills,-0.026
17063,14518,FF,20200924,93.0,-1.66,6.13,212.0,624407,664042,strikeout,called_strike,4.0,L,R,BOS,BAL,S,2.0,,-0.74,2.5,Ryan Wills,-0.153
17064,14519,FF,20200924,92.2,-1.55,6.17,208.0,624407,664042,,foul,11.0,L,R,BOS,BAL,S,,,-0.17,3.29,Ryan Wills,-0.056
17065,14520,FF,20200924,92.7,-1.81,6.04,211.0,624407,664042,,called_strike,1.0,L,R,BOS,BAL,S,,,-0.28,2.62,Ryan Wills,-0.042
17066,14521,CU,20200924,79.7,-1.04,6.06,221.0,592407,624407,field_out,hit_into_play,2.0,R,R,BOS,BAL,X,8.0,fly_ball,-0.17,3.04,Ryan Wills,-0.282
17067,14522,CU,20200924,76.8,-1.08,6.11,217.0,592407,624407,,called_strike,8.0,R,R,BOS,BAL,S,,,0.11,1.58,Ryan Wills,-0.051
17068,14523,CU,20200924,68.1,-1.01,6.1,249.0,593643,624407,double,hit_into_play,5.0,R,R,BOS,BAL,X,7.0,ground_ball,0.18,2.15,Ryan Wills,1.706
